기관 명,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자
서울시,SDOT001,4027,00Original,4027,10,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4033,00Original,4033,2,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4041,00Original,4041,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4015,00Original,4015,3,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4031,00Original,4031,5,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4046,00Original,4046,1,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4036,00Original,4036,4,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4023,00Original,4023,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4017,00Original,4017,3,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4045,00Original,4045,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4019,00Original,4019,13,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4001,00Original,4001,3,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4006,00Original,4006,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4043,00Original,4043,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4038,00Original,4038,0,2.02109E+11,2021-09-27 0:00
서울시,SDOT001,4008,00Original,4008,3,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2992,00Original,2992,150,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2994,00Original,2994,108,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2993,00Original,2993,153,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2996,00Original,2996,98,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2995,00Original,2995,119,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2998,00Original,2998,131,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2997,00Original,2997,93,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,3001,00Original,3001,114,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,3000,00Original,3000,157,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,2999,00Original,2999,98,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,3003,00Original,3003,147,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,3002,00Original,3002,94,2.02109E+11,2021-09-27 0:01
서울시,SDOT001,4039,00Original,4039,1,2.02109E+11,2021-09-27 0:01
