기관 명,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자
서울시,SDOT001,4041,00Original,4041,0,2.02104E+11,2021-04-26 0:00
서울시,SDOT001,4038,00Original,4038,0,2.02104E+11,2021-04-26 0:00
서울시,SDOT001,3000,00Original,3000,165,2.02104E+11,2021-04-26 0:00
서울시,SDOT001,3005,00Original,3005,168,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,2994,00Original,2994,179,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,2996,00Original,2996,129,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,4012,00Original,4012,1,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,2997,00Original,2997,136,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,2999,00Original,2999,147,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,3000,00Original,3000,165,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,3002,00Original,3002,149,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,3005,00Original,3005,168,2.02104E+11,2021-04-26 0:01
서울시,SDOT001,3018,00Original,3018,120,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,3019,00Original,3019,168,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,4005,00Original,4005,6,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,3026,00Original,3026,103,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,3027,00Original,3027,147,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,3031,00Original,3031,155,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,3038,00Original,3038,146,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,4003,00Original,4003,17,2.02104E+11,2021-04-26 0:02
서울시,SDOT001,4039,00Original,4039,0,2.02104E+11,2021-04-26 0:11
서울시,SDOT001,4049,00Original,4049,3,2.02104E+11,2021-04-26 0:12
서울시,SDOT001,4005,00Original,4005,11,2.02104E+11,2021-04-26 0:12
서울시,SDOT001,4003,00Original,4003,8,2.02104E+11,2021-04-26 0:12
서울시,SDOT001,2998,00Original,2998,184,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3000,00Original,3000,185,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3001,00Original,3001,143,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3002,00Original,3002,161,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3003,00Original,3003,180,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3004,00Original,3004,200,2.02104E+11,2021-04-26 0:13
서울시,SDOT001,3022,00Original,3022,155,2.02104E+11,2021-04-26 0:14
서울시,SDOT001,3024,00Original,3024,241,2.02104E+11,2021-04-26 0:14
서울시,SDOT001,3027,00Original,3027,149,2.02104E+11,2021-04-26 0:14
서울시,SDOT001,3035,00Original,3035,168,2.02104E+11,2021-04-26 0:14
서울시,SDOT001,3037,00Original,3037,78,2.02104E+11,2021-04-26 0:15
서울시,SDOT001,3038,00Original,3038,155,2.02104E+11,2021-04-26 0:15
서울시,SDOT001,3039,00Original,3039,163,2.02104E+11,2021-04-26 0:15
서울시,SDOT001,4016,00Original,4016,16,2.02104E+11,2021-04-26 0:15
서울시,SDOT001,4035,00Original,4035,17,2.02104E+11,2021-04-26 0:16
