기관 명,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자
서울시,SDOT001,4008,00Original,4008,1,2.02101E+11,2021-01-25 0:20
서울시,SDOT001,4039,00Original,4039,0,2.02101E+11,2021-01-25 0:20
서울시,SDOT001,4012,00Original,4012,0,2.02101E+11,2021-01-25 0:20
서울시,SDOT001,4049,00Original,4049,1,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4005,00Original,4005,5,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4026,00Original,4026,1,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4044,00Original,4044,0,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4003,00Original,4003,3,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4022,00Original,4022,0,2.02101E+11,2021-01-25 0:21
서울시,SDOT001,4032,00Original,4032,3,2.02101E+11,2021-01-25 0:22
서울시,SDOT001,4048,00Original,4048,0,2.02101E+11,2021-01-25 0:22
서울시,SDOT001,4024,00Original,4024,0,2.02101E+11,2021-01-25 0:22
서울시,SDOT001,4034,00Original,4034,1,2.02101E+11,2021-01-25 0:26
서울시,SDOT001,4024,00Original,4024,0,2.02101E+11,2021-01-25 0:27
서울시,SDOT001,4034,00Original,4034,0,2.02101E+11,2021-01-25 0:27
서울시,SDOT001,4010,00Original,4010,0,2.02101E+11,2021-01-25 0:27
서울시,SDOT001,4016,00Original,4016,22,2.02101E+11,2021-01-25 0:27
서울시,SDOT001,4018,00Original,4018,5,2.02101E+11,2021-01-25 0:27
서울시,SDOT001,4035,00Original,4035,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4037,00Original,4037,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4014,00Original,4014,11,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4009,00Original,4009,3,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4002,00Original,4002,5,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4021,00Original,4021,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4028,00Original,4028,1,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4004,00Original,4004,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4013,00Original,4013,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4050,00Original,4050,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4047,00Original,4047,19,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4029,00Original,4029,2,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4011,00Original,4011,2,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4030,00Original,4030,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4007,00Original,4007,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4040,00Original,4040,0,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4020,00Original,4020,2,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4042,00Original,4042,1,2.02101E+11,2021-01-25 0:28
서울시,SDOT001,4025,00Original,4025,0,2.02101E+11,2021-01-25 0:28
